Station,Latitude,Longitude,geometry
11112099999,47٫1402778,10٫5636111,POINT (10.5636111 47.1402778)
11120099999,47٫260219,11٫343964,POINT (11.343964 47.260219)
1112099999,65٫461111,12٫2175,POINT (12.2175 65.461111)
11126099999,47٫2166666,11٫4666666,POINT (11.4666666 47.2166666)
11130099999,47٫5833333,12٫1666666,POINT (12.1666666 47.5833333)
11136099999,47٫2333333,12٫1833333,POINT (12.1833333 47.2333333)
11138099999,47٫1333333,12٫6333333,POINT (12.6333333 47.1333333)
11144099999,47٫3333333,12٫8,POINT (12.8 47.3333333)
11146099999,47٫05,12٫95,POINT (12.95 47.05)
11148099999,47٫1,13٫65,POINT (13.65 47.1)
11149099999,47٫25,13٫5666666,POINT (13.5666666 47.25)
11150099999,47٫793304,13٫004333,POINT (13.004333 47.793304)
1115099999,66٫7666666,12٫4833333,POINT (12.4833333 66.7666666)
11152099999,47٫9833333,13٫1,POINT (13.1 47.9833333)
11157099999,47٫5333333,14٫1333333,POINT (14.1333333 47.5333333)
1116099999,65٫95,12٫4666666,POINT (12.4666666 65.95)
11165099999,47٫202751,14٫744223,POINT (14.744223 47.202751)
11170099999,47٫85,15٫0666666,POINT (15.0666666 47.85)
11180099999,47٫7166666,15٫7833333,POINT (15.7833333 47.7166666)
11182099999,47٫8333333,16٫2166666,POINT (16.2166666 47.8333333)
11185099999,47٫5166666,16٫0333333,POINT (16.0333333 47.5166666)
11190099999,47٫85,16٫5333333,POINT (16.5333333 47.85)
11192099999,47٫2,16٫3333333,POINT (16.3333333 47.2)
11204099999,46٫8333333,12٫8166666,POINT (12.8166666 46.8333333)
1121099999,66٫3666666,12٫6166666,POINT (12.6166666 66.3666666)
11213099999,46٫6166666,13٫8833333,POINT (13.8833333 46.6166666)
1122099999,65٫783997,13٫214914,POINT (13.214914 65.783997)
11231099999,46٫65,14٫3333333,POINT (14.3333333 46.65)
11240099999,46٫991067,15٫439628,POINT (15.439628 46.991067)
11241099999,47٫2,15٫4666666,POINT (15.4666666 47.2)
11252099999,47,12٫45,POINT (12.45 47)
11255099999,46٫6833333,13,POINT (13 46.6833333)
11270099999,46٫7333333,13٫0833333,POINT (13.0833333 46.7333333)
11275099999,46٫7333333,13٫85,POINT (13.85 46.7333333)
11280099999,47٫1166666,14٫1833333,POINT (14.1833333 47.1166666)
11292099999,47٫0666666,15٫5833333,POINT (15.5833333 47.0666666)
11302099999,47٫4333333,9٫7333333,POINT (9.7333333 47.4333333)
11308099999,47٫25,10٫1833333,POINT (10.1833333 47.25)
11310099999,46٫9833333,10٫3166666,POINT (10.3166666 46.9833333)
11340099999,47٫3333333,12٫7333333,POINT (12.7333333 47.3333333)
11346099999,47٫2166666,13,POINT (13 47.2166666)
11348099999,47٫15,13٫75,POINT (13.75 47.15)
11350099999,47٫7833333,13٫05,POINT (13.05 47.7833333)
11351099999,47٫4333333,13٫6333333,POINT (13.6333333 47.4333333)
11355099999,47٫7333333,14٫3333333,POINT (14.3333333 47.7333333)
11356099999,47٫6166666,13٫75,POINT (13.75 47.6166666)
11357099999,47٫7333333,13٫45,POINT (13.45 47.7333333)
11358099999,47٫55,13٫9333333,POINT (13.9333333 47.55)
11380099999,47٫7,15٫8333333,POINT (15.8333333 47.7)
11382099999,47٫7833333,15٫9,POINT (15.9 47.7833333)
11384099999,47٫6166666,15٫8333333,POINT (15.8333333 47.6166666)
11385099999,47٫8166666,16٫0333333,POINT (16.0333333 47.8166666)
11406099999,50٫0666666,12٫3833333,POINT (12.3833333 50.0666666)
1141099999,68٫15,13٫6166667,POINT (13.6166667 68.15)
11414099999,50٫202978,12٫914983,POINT (12.914983 50.202978)
11423099999,49٫6666666,12٫6833333,POINT (12.6833333 49.6666666)
11438099999,50٫3833333,13٫3333333,POINT (13.3333333 50.3833333)
11457099999,49٫0666666,13٫6166666,POINT (13.6166666 49.0666666)
11464099999,50٫55,13٫9333333,POINT (13.9333333 50.55)
11487099999,49٫4666666,13٫8333333,POINT (13.8333333 49.4666666)
11502099999,50٫6833333,14٫0333333,POINT (14.0333333 50.6833333)
11509099999,50٫4666666,14٫1666666,POINT (14.1666666 50.4666666)
1151099999,66٫3666666,14٫3,POINT (14.3 66.3666666)
11518099999,50٫100833,14٫26,POINT (14.26 50.100833)
11520099999,50,14٫45,POINT (14.45 50)
1152099999,67٫269167,14٫365278,POINT (14.365278 67.269167)
11538099999,49٫2,14٫35,POINT (14.35 49.2)
11567099999,50٫1166666,14٫5333333,POINT (14.5333333 50.1166666)
1160099999,68٫15,14٫65,POINT (14.65 68.15)
11603099999,50٫7666666,15٫0166666,POINT (15.0166666 50.7666666)
1161099999,68٫25,14٫6666667,POINT (14.6666667 68.25)
1162099999,68٫5833333,15٫0166667,POINT (15.0166667 68.5833333)
11624099999,49٫939653,15٫381808,POINT (15.381808 49.939653)
